# Data for the a4a model 
# Full age range
 0 6 
# Full year range
 1982 2012 
# Number of surveys
 3 
# Survey min ages
 0 0 0 
# Survey max ages
 4 4 4 
# Survey time as a fraction into the year (one for each survey)
 0.625 0.625 0.625 
# fbar range
 2 5 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 547 
# Observation data frame 
# fleet	year	age	observation	weights
4	2011	0	7.91662052892416	1
4	2011	1	6.34851242310215	1
4	2011	2	3.11195540788138	1
4	2011	3	1.58020607390179	1
4	2011	4	-1.56799479329648	1
# Auxilliary data frame 
# Number of auxilliary data
 217 
# year	age	m	m.spwn	harvest.spwn	mat.wt
1982	0	-0.870686158093021	0	0	7.30098980263493e-05	0.0532787132254857
1982	1	-0.870686158093021	0	0	0.0426504380957463	0.245827224210295
1982	2	-0.870686158093021	0	0	0.829617658500536	0.930538716367494
1982	3	-0.870686158093021	0	0	1.90013747369833	1.90306231420688
1982	4	-0.870686158093021	0	0	3.47766868302066	3.4777828697244
1982	5	-0.870686158093021	0	0	4.95678560558994	4.95679283713798
1982	6	-0.870686158093021	0	0	7.28435953931771	7.2843602339696
1983	0	-0.870686158093021	0	0	4.07635396667061e-05	0.0510978225203908
1983	1	-0.870686158093021	0	0	0.0885092665389389	0.269762488900114
1983	2	-0.870686158093021	0	0	0.872557918849972	0.885108409635641
1983	3	-0.870686158093021	0	0	1.97685593044861	1.97690470533319
1983	4	-0.870686158093021	0	0	3.34130239945056	3.3413027424816
1983	5	-0.870686158093021	0	0	4.97894093559056	4.97894094186017
1983	6	-0.870686158093021	0	0	7.59182488664799	7.5918248868452
1984	0	-0.870686158093021	0	0	0.000951509769191373	0.0509442763869374
1984	1	-0.870686158093021	0	0	0.0789588025354413	0.267791318881508
1984	2	-0.870686158093021	0	0	0.772544766940049	0.905019177773997
1984	3	-0.870686158093021	0	0	1.94139828093649	1.96465296609717
1984	4	-0.870686158093021	0	0	3.35189585342489	3.35586145719712
1984	5	-0.870686158093021	0	0	4.92146678127023	4.9223396029027
1984	6	-0.870686158093021	0	0	7.79696055556459	7.79722610639152
1985	0	-0.870686158093021	0	0	6.65272454979202e-05	0.0517098859449537
1985	1	-0.870686158093021	0	0	0.0742977892111227	0.26596616011022
1985	2	-0.870686158093021	0	0	0.881242403229133	0.911720304444707
1985	3	-0.870686158093021	0	0	1.9764856184973	1.97679725403132
1985	4	-0.870686158093021	0	0	3.35819421029731	3.35819924282658
1985	5	-0.870686158093021	0	0	4.91268699124496	4.91268716425967
1985	6	-0.870686158093021	0	0	7.7931347403133	7.79313475046485
1986	0	-0.870686158093021	0	0	6.31329772417564e-05	0.0494069485747115
1986	1	-0.870686158093021	0	0	0.0532172824539336	0.270727752059784
1986	2	-0.870686158093021	0	0	0.838474479740657	0.913379119363884
1986	3	-0.870686158093021	0	0	1.98801956316073	1.98970023487962
1986	4	-0.870686158093021	0	0	3.3675752265003	3.36762353179971
1986	5	-0.870686158093021	0	0	4.9159877369594	4.91599035315777
1986	6	-0.870686158093021	0	0	7.6919304226705	7.69193065046917
1987	0	-0.870686158093021	0	0	0.000333639672077585	0.0467230361848584
1987	1	-0.870686158093021	0	0	0.102420579323311	0.261032745737498
1987	2	-0.870686158093021	0	0	0.898333690555337	0.926737597431848
1987	3	-0.870686158093021	0	0	1.99833832061978	1.99915507829081
1987	4	-0.870686158093021	0	0	3.37979415316124	3.37982716568159
1987	5	-0.870686158093021	0	0	4.92670804281998	4.92671038434377
1987	6	-0.870686158093021	0	0	7.62110756247023	7.62110781919885
1988	0	-0.870686158093021	0	0	0.000152110739952833	0.0452473932862837
1988	1	-0.870686158093021	0	0	0.0378129763688806	0.24844263553715
1988	2	-0.870686158093021	0	0	0.731985154562796	0.917850309949237
1988	3	-0.870686158093021	0	0	1.99603173445755	2.01482682180662
1988	4	-0.870686158093021	0	0	3.38980782557458	3.39149200532699
1988	5	-0.870686158093021	0	0	4.93975415742534	4.93997697047505
1988	6	-0.870686158093021	0	0	7.61809709129268	7.61813947119989
1989	0	-0.870686158093021	0	0	0.000136745695327665	0.0469709382274067
1989	1	-0.870686158093021	0	0	0.0543041712198937	0.240655573864606
1989	2	-0.870686158093021	0	0	0.809125469747323	0.890062641686446
1989	3	-0.870686158093021	0	0	2.00292763152438	2.00632488918361
1989	4	-0.870686158093021	0	0	3.40342885824678	3.40359304903823
1989	5	-0.870686158093021	0	0	4.95414513886863	4.95415847406689
1989	6	-0.870686158093021	0	0	7.67040143532451	7.67040308838362
1990	0	-0.870686158093021	0	0	0.000113560295372854	0.0472049442811774
1990	1	-0.870686158093021	0	0	0.0590536742273958	0.244874290155301
1990	2	-0.870686158093021	0	0	0.808925747617496	0.870204874700024
1990	3	-0.870686158093021	0	0	1.96353872903688	1.96536240676914
1990	4	-0.870686158093021	0	0	3.3962389587213	3.39630757710824
1990	5	-0.870686158093021	0	0	4.96560959504817	4.9656141248766
1990	6	-0.870686158093021	0	0	7.76161374784475	7.76161421732558
1991	0	-0.870686158093021	0	0	0.00088100244722636	0.0483289817332502
1991	1	-0.870686158093021	0	0	0.105798732247263	0.246356886700942
1991	2	-0.870686158093021	0	0	0.83706586556086	0.876967455737709
1991	3	-0.870686158093021	0	0	1.93581358640957	1.93861968855659
1991	4	-0.870686158093021	0	0	3.3597916528786	3.36003503059312
1991	5	-0.870686158093021	0	0	4.95658816118166	4.95661950626985
1991	6	-0.870686158093021	0	0	7.86751006924044	7.86751599717139
1992	0	-0.870686158093021	0	0	0.000396309379886258	0.0477808302646726
1992	1	-0.870686158093021	0	0	0.0825861855817126	0.251668750670962
1992	2	-0.870686158093021	0	0	0.825330748793113	0.881676574889323
1992	3	-0.870686158093021	0	0	1.93909161401809	1.94227301859792
1992	4	-0.870686158093021	0	0	3.33435725732409	3.33457586744302
1992	5	-0.870686158093021	0	0	4.9188799194323	4.91890348633603
1992	6	-0.870686158093021	0	0	7.91413479208535	7.91413865062292
